spend_id,date,spend_description,decision_log_id,currency,amount,exchange_rate,USD_equivalent,tx_fee,from_address,to_address,tx_reference,comment
40,20201222,dtavarez Q1 2021 funding,76,BTC,0.937546,23783.03,22297.68,0.00026500,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,bc1q86fkyu90g9ht4naj2cpxfteu877cm6jjg9zpr7,5c75c669f4808b88a151b8e867a5aede075a0611f294c27365dd5b1fa9856913,full payment
41,20200702,consolidation,N/A,BTC,0,0,0,0.00023715,39hgKkhfPFpwKRQ6yARGwU2uuVay69NKu4,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,d6abfb40ffd6c12bab37fb3b091a233212d1099342622af132a8035d83e3074d,
42,20191113,test,N/A,BTC,0,0,0,0.00002905,bc1qj7s3g766cxa77a3k8nf7hjapysujk8q8w7gtmk,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,f3687374825754d7e475cecb9ab805dd2f8215c2fabd92e545ca4dca32335129,receive test
43,20191113,test,N/A,BTC,0.00051213,0,0,0.00005882,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,1NGRBwkV3nBzYgKR2Kp6wmci7vUm48HhzC,93bda8b6d84ec14f13d06ef86ca96096ab15a673f0fc6ae73604e7c00dde6c44,send test (still there) 
44,20191113,consolidation,N/A,BTC,0,0,0,0.00141769,many,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,09ff810d56da7fc0ba9aeea5d91cf3a798f634964d94ce7d33a28ed4a8a35d9a,consolidating outputs
45,20191113,consolidation,N/A,BTC,0,0,0,0.00005261,bc1qfkmtgslk2xhzlxxyuh0cyukhuvs7htwu7thh7l92kdv3a7v5ymrshj3p8h,many,2d70b2ad3a0ba98cc7a624456269a0bea51162538d72122cd1727fa351676b41,consolidating outputs
46,20191113,consolidation,N/A,BTC,0,0,0,0.00007393,many,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,2f3a2140b15ecb434c3339b8af259be3902181790f0cf80d4f3b576a47c0e7dc,consolidating outputs
47,20191113,consolidation,N/A,BTC,0,0,0,0.00011611,3DW7kZqb3h9mkZnbQ9eEAQHWjeYujhGDV5,many,5f111fdb6a087380a76e733f6525f9571d9d47ac81bc91c4f91dc173344480f3,consolidating outputs
48,20191113,consolidation,N/A,BTC,0,0,0,0.00196359,many,many,24b6d9c63eb853ae693341e83eead8f45898a98748e910a32d8697ee380bd6e1,consolidating outputs
49,20191113,consolidation,N/A,BTC,0,0,0,0.00027477,many,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,9d2de1fb1bf01f2b2c850d094b0463837708d03d879fceb076248f2d38ef658e,consolidating outputs
50,20191113,test,N/A,BTC,0.00360994,0,0,0.00002761,bc1qj97v2udv85f874n874fztd868rsuvty2dull4n,many,abe765890b8f02dffe1910a0e9aa02fc92e35b2b3e92f75c5691cd70e303ec91,receive test (still there) 
51,20191113,test,N/A,BTC,0.00024557,0,0,0.00009688,39hgKkhfPFpwKRQ6yARGwU2uuVay69NKu4,1FMmXfjD9GsZmQ9hLsvEL7nM3MrKrN39FQ,262f665fd1ee55360a1cedd9ae468a5a852b5f1766b9eb38e617160fa171ba1d,send test (still there) 
52,20191113,discrepancy,N/A,BTC,0.01744541,0,0,0,N/A,N/A,N/A,Accounting discrepancy discovered March 08 2021: most likely arisen due to the old way we were handling addresses and outputs prior to the consolidation. 
